match_id,date,venue,city,country,competition,match_type,balls_per_over,team1,team2,toss_winner,toss_decision,winner,win_type,win_margin,player_of_match
20100509_KensingtonOvalBridgetown_WestIndies_vs_India,2010-05-09,"Kensington Oval, Bridgetown",Barbados,West Indies,,T20,6,West Indies,India,India,field,West Indies,runs,14,CH Gayle
20090612_Lords_Pakistan_vs_SriLanka,2009-06-12,Lord's,London,England,,T20,6,Pakistan,Sri Lanka,Sri Lanka,bat,Sri Lanka,runs,19,TM Dilshan
20120919_RPremadasaStadium_Australia_vs_Ireland,2012-09-19,R Premadasa Stadium,Colombo,Sri Lanka,,T20,6,Australia,Ireland,Ireland,bat,Australia,wickets,7,SR Watson
20090610_TrentBridge_SriLanka_vs_WestIndies,2009-06-10,Trent Bridge,Nottingham,England,,T20,6,Sri Lanka,West Indies,West Indies,field,Sri Lanka,runs,15,ST Jayasuriya
20240605_ProvidenceStadiumGuyana_PapuaNewGuinea_vs_Uganda,2024-06-05,"Providence Stadium, Guyana",Providence,Guyana,,T20,6,Papua New Guinea,Uganda,Uganda,field,Uganda,wickets,3,Riazat Ali Shah
20240609_SirVivianRichardsStadiumNorthSoundAntigua_Oman_vs_Scotland,2024-06-09,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,West Indies,,T20,6,Oman,Scotland,Oman,bat,Scotland,wickets,7,BJ McMullen
20240609_NassauCountyInternationalCricketStadiumNewYork_India_vs_Pakistan,2024-06-09,"Nassau County International Cricket Stadium, New York",New York,USA,,T20,6,India,Pakistan,Pakistan,field,India,runs,6,JJ Bumrah
20240608_ProvidenceStadiumGuyana_WestIndies_vs_Uganda,2024-06-08,"Providence Stadium, Guyana",Providence,Guyana,,T20,6,West Indies,Uganda,West Indies,bat,West Indies,runs,134,AJ Hosein
20240601_GrandPrairieStadiumDallas_Canada_vs_UnitedStatesofAmerica,2024-06-01,"Grand Prairie Stadium, Dallas",Dallas,USA,,T20,6,Canada,United States of America,United States of America,field,United States of America,wickets,7,Aaron Jones
20240608_KensingtonOvalBridgetownBarbados_Australia_vs_England,2024-06-08,"Kensington Oval, Bridgetown, Barbados",Bridgetown,West Indies,,T20,6,Australia,England,England,field,Australia,runs,36,A Zampa
20240608_NassauCountyInternationalCricketStadiumNewYork_Netherlands_vs_SouthAfrica,2024-06-08,"Nassau County International Cricket Stadium, New York",New York,USA,,T20,6,Netherlands,South Africa,South Africa,field,South Africa,wickets,4,DA Miller
20240602_ProvidenceStadiumGuyana_PapuaNewGuinea_vs_WestIndies,2024-06-02,"Providence Stadium, Guyana",Providence,Guyana,,T20,6,Papua New Guinea,West Indies,West Indies,field,West Indies,wickets,5,RL Chase
20240605_KensingtonOvalBridgetownBarbados_Australia_vs_Oman,2024-06-05,"Kensington Oval, Bridgetown, Barbados",Bridgetown,West Indies,,T20,6,Australia,Oman,Oman,field,Australia,runs,39,MP Stoinis
20240607_NassauCountyInternationalCricketStadiumNewYork_Canada_vs_Ireland,2024-06-07,"Nassau County International Cricket Stadium, New York",New York,USA,,T20,6,Canada,Ireland,Ireland,field,Canada,runs,12,NR Kirton
20240603_NassauCountyInternationalCricketStadiumNewYork_SriLanka_vs_SouthAfrica,2024-06-03,"Nassau County International Cricket Stadium, New York",New York,USA,,T20,6,Sri Lanka,South Africa,Sri Lanka,bat,South Africa,wickets,6,A Nortje
20240606_KensingtonOvalBridgetownBarbados_Namibia_vs_Scotland,2024-06-06,"Kensington Oval, Bridgetown, Barbados",Bridgetown,West Indies,,T20,6,Namibia,Scotland,Namibia,bat,Scotland,wickets,5,MA Leask
20240605_NassauCountyInternationalCricketStadiumNewYork_Ireland_vs_India,2024-06-05,"Nassau County International Cricket Stadium, New York",New York,USA,,T20,6,Ireland,India,India,field,India,wickets,8,JJ Bumrah
20240604_GrandPrairieStadiumDallas_Nepal_vs_Netherlands,2024-06-04,"Grand Prairie Stadium, Dallas",Dallas,USA,,T20,6,Nepal,Netherlands,Netherlands,field,Netherlands,wickets,6,TJG Pringle
20240607_GrandPrairieStadiumDallas_SriLanka_vs_Bangladesh,2024-06-07,"Grand Prairie Stadium, Dallas",Dallas,USA,,T20,6,Sri Lanka,Bangladesh,Bangladesh,field,Bangladesh,wickets,2,Rishad Hossain
20240617_BrianLaraStadiumTaroubaTrinidad_PapuaNewGuinea_vs_NewZealand,2024-06-17,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,West Indies,,T20,6,Papua New Guinea,New Zealand,New Zealand,field,New Zealand,wickets,7,LH Ferguson
20240627_ProvidenceStadiumGuyana_India_vs_England,2024-06-27,"Providence Stadium, Guyana",Providence,Guyana,,T20,6,India,England,England,field,India,runs,68,AR Patel
20240616_CentralBrowardRegionalParkStadiumTurfGroundLauderhill_Ireland_vs_Pakistan,2024-06-16,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,USA,,T20,6,Ireland,Pakistan,Pakistan,field,Pakistan,wickets,3,Shaheen Shah Afridi
20240622_SirVivianRichardsStadiumNorthSoundAntigua_India_vs_Bangladesh,2024-06-22,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,West Indies,,T20,6,India,Bangladesh,Bangladesh,field,India,runs,50,HH Pandya
20240615_DarenSammyNationalCricketStadiumGrosIsletStLucia_Scotland_vs_Australia,2024-06-15,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,West Indies,,T20,6,Scotland,Australia,Australia,field,Australia,wickets,5,MP Stoinis
20240621_DarenSammyNationalCricketStadiumGrosIsletStLucia_SouthAfrica_vs_England,2024-06-21,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,West Indies,,T20,6,South Africa,England,England,field,South Africa,runs,7,Q de Kock
20240613_ArnosValeGroundKingstownStVincent_Bangladesh_vs_Netherlands,2024-06-13,"Arnos Vale Ground, Kingstown, St Vincent",Kingstown,West Indies,,T20,6,Bangladesh,Netherlands,Netherlands,field,Bangladesh,runs,25,Shakib Al Hasan
20240611_NassauCountyInternationalCricketStadiumNewYork_Canada_vs_Pakistan,2024-06-11,"Nassau County International Cricket Stadium, New York",New York,USA,,T20,6,Canada,Pakistan,Pakistan,field,Pakistan,wickets,7,Mohammad Amir
20240616_DarenSammyNationalCricketStadiumGrosIsletStLucia_SriLanka_vs_Netherlands,2024-06-16,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,West Indies,,T20,6,Sri Lanka,Netherlands,Netherlands,field,Sri Lanka,runs,83,KIC Asalanka
20240621_KensingtonOvalBridgetownBarbados_UnitedStatesofAmerica_vs_WestIndies,2024-06-21,"Kensington Oval, Bridgetown, Barbados",Bridgetown,West Indies,,T20,6,United States of America,West Indies,West Indies,field,West Indies,wickets,9,RL Chase
20240612_NassauCountyInternationalCricketStadiumNewYork_UnitedStatesofAmerica_vs_India,2024-06-12,"Nassau County International Cricket Stadium, New York",New York,USA,,T20,6,United States of America,India,India,field,India,wickets,7,Arshdeep Singh
